,track_name,artist_name,tweets
61,Let's Fall in Love for the Night,FINNEAS,"@sayoqrl anyway here are some I love:
-Let's Fall In Love For The Night by Finneas
-Circles by Post Malone
-double take by dhruv
-Sunflower by Post Malone, Swae Lee
-Lose by KSI and Lil Wayne
-At My Worst by Pink Sweat$
-Bang Bang by K'naan ft. Adam Levine

its a rollercoaster of emotions @iB0RN4KTH Let's fall in love for the night - finneas @kerraeIas Coba ini, finneas - let’s fall in love for the night, soren - beabadoobee, the shadowboxers - honeymoon Was just driving through a small town while listening to Let’s Fall In Love For The Night and completely forgot about the frogs at the end of the song and literally had to look around to see if there were any around us… so thanks for that @finneas #NowPlaying “Let's Fall in Love for the Night” by FINNEAS on #Anghami https://t.co/wISMviEPdK @elliexromania Finneas é perfeito, let’s fall in love for the night, die alone, break my heart again… 🥹🤌🏼 #NowPlaying @finneas - Let's Fall in Love for the Night #11N1 @akiranjingg AKSHSJSJSJ BANYAAAKK :( Keshi suka juga gak? Aku suka keshi, niki, lany, HONNE AND FINNEAS TOO!!! Let's fall in love for the night is my comfort song &lt;3 ""Let's fall in love for the night and forget in the morning"" - FINNEAS @scandalsart / let’s fall in love for the night by finneas. THAT IS THE NIGHT OF THE MASQUERADE 100%"
62,All I Know So Far,P!nk,"RT @BaddCompani: It Is What It Is🤘

P!NK - All I Know So Far (Official Video) https://t.co/IfnzmyzfL9 via @YouTube 🔊 #NowPlaying on #BBCRadio2's #OJBorg 🕊️

P!nk:
  🎵 All I Know So Far

#P!nk 

https://t.co/AyuksDUo8M P!nk - All I Know So Far https://t.co/8ePVR2gVsN #NowPlaying #BBCRadio2 Now Playing P!nk - All I Know So Far Pink swr1 Weekly 6x: All I know so far (P!nk), My universe (Coldplay x BTS) P!nk - All I Know So Far P!nk - All I Know So Far (Lyrics)_160k #CitizensAM is now playing: All I Know So Far - P!nk! 

Listen live at https://t.co/AA1HbyEGSB. All I Know So Far — P!nk https://t.co/T5nrb2kh02 RT @BaddCompani: It Is What It Is🤘

P!NK - All I Know So Far (Official Video) https://t.co/IfnzmyzfL9 via @YouTube"
63,Where Are You Now,Lost Frequencies,"#nowplaying #LostFrequenciesxCalumScott ~ Lost Frequencies x Calum Scott | Where Are You Now ||| Radio TEDDY - In der #Oberpfalz #DAB auf Kanal 12D Lost Frequencies - Where Are You Now (Feat. Calum Scott) 02:03: ""Where Are You Now"" von Lost Frequencies x Calum Scott 1 - Rosalía - LA FAMA
2 - Lost Frequencies - Where Are You Now
3 - Daft Punk - Get Lucky (feat. Pharrell Williams &amp; Nile Rodgers) (Radio Edit)
4 - Farruko - Pepas
5 - Tom Odell - Another Love
6 - Naps - Best life
7 - Naps - La kiffance
8 - Adele - Easy On Me Now playing on Power Radio Lost Frequencies ft Calum Scott - Where Are You Now Lost Frequencies - Where Are You Now (Audio) Ft. Calum Scott https://t.co/RaOzqngUsn #nowplaying #LostFrequenciesxCalumScott ~ Lost Frequencies x Calum Scott | Where Are You Now ||| Radio TEDDY - In #Erfurt auf 99.2 Lost Frequencies - Where Are You Now  https://t.co/utUxCLyLar Lost Frequencies - Where Are You Now (feat Calum Scott) #NowPlaying Lost Frequencies Ft Calum Scott - Where Are You Now on AudioLive FM.
 Listen now on https://t.co/OGPmCMhFQI!
#radio #digitalradio #musicaecultura #audiolivefm #dance #lostfrequencies_calumscott #whereareyounow_single #whereareyounow https://t.co/Sqs1oqVX5i"
64,I AM WOMAN,Emmy Meli,"Now Playing: Emmy Meli - I Am Woman (Click Here To Listen) https://t.co/kcNQSyXRrW Adesso in onda Emmy Meli - I AM WOMAN https://t.co/NPVs5dgKny amo tds as músicas da emmy meli mas peguei ranço de i am woman Now Playing Emmy Meli - I Am Woman -escuchala en https://t.co/Om4r4u1aQu Emmy Meli - I AM WOMAN (Lyrics) https://t.co/9GMacvPjO5 via @YouTube ♫I AM WOMAN by Emmy Meli, from #SoundHound with LiveLyrics® https://t.co/SRvpr22ii1 RT @10shi_b: alexa play i am woman by emmy meli 🌸✨
#art #digitalart #procreate https://t.co/6IZLmrNLHu Mood: I am woman - Emmy Meli 🎶 alexa play i am woman by emmy meli 🌸✨
#art #digitalart #procreate https://t.co/6IZLmrNLHu Emmy Meli - I AM WOMAN"
65,When I’m Gone (with Katy Perry),Alesso,"Alesso, Katy Perry - When I’m Gone (with Katy Perry) Chart-run: When I’m Gone (with Katy Perry) de Alesso

1 - 1 - 1 - 2 - 1 - 2 - 1 - 2  - 1 - 3 - 1 - 1 - 2 - 3 - 3 

13 weeks https://t.co/swcjjau8gh Enjoy with the best music all over the world. Now playing When I'm Gone - Alesso;Katy Perry on https://t.co/b97MPDulOx https://t.co/7w4Yao7Jxk When and how do you finally let go of an ex? Katy Perry and Alesso encourages us be stronger with ""When I'm Gone"". https://t.co/eOiB1V3pJR Alesso - When I'm Gone (with Katy Perry)  #nowplaying #onair #listenlive #streamingnow #goodmusic #80s #newhits #eradiosa #gardenroute #knysna #George #Mosselbay #capetown #Gqeberha #southafrica #westerncape - Tune in: https://t.co/yaayRJxmoU Now Playing When I�m Gone (with Katy Perry) by Alesso, Katy Perry Listen online at https://t.co/CjESdZ5k9d https://t.co/d4jj9nHC6y Now playing When I’m Gone (with Katy Perry) by Alesso, Katy Perry! Alesso - When I'm Gone (with Katy Perry)  #nowplaying #onair #listenlive #streamingnow #goodmusic #80s #newhits #eradiosa #gardenroute #knysna #George #Mosselbay #capetown #Gqeberha #southafrica #westerncape - Tune in: https://t.co/yaayRJxmoU"
66,For Tonight,Giveon,"Giveon - For Tonight ""Lets Grow"" For Tonight by Giveon is so beautiful Giveon @giveon - For Tonight #featuredartist on Inner G Radio! 
DOWNLOAD OUR APP TODAY FROM YOUR MOBILE APP STORE to TUNE IN https://t.co/S4yGQsfGXx Also available on Alexa Skill #BMI #ASCAP Giveon - For Tonight Giveon - For Tonight (Clean) Giveon - For Tonight https://t.co/JnaIwbSQ1H Giveon - For Tonight https://t.co/RaOzqngUsn Now Playing: Giveon - For Tonight (Click Here To Listen) https://t.co/kcNQSyXRrW @nayounglvd right now, it's giveon's for tonight. 😅 Giveon - For Tonight #REFLEXRADIO #REFLEXNOW"
67,Overpass Graffiti,Ed Sheeran,"Now Playing: Ed Sheeran - Overpass Graffiti (Click Here To Listen) https://t.co/kcNQSyXRrW Nu op ZTACK: Overpass Graffiti van Ed Sheeran! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! #nowplaying #EdSheeran ~ Ed Sheeran | Overpass Graffiti ||| BB RADIO - In #FrankfurtOder #ffo #Brandenburg #GER auf 107.8 #nowplaying #EdSheeran ~ Ed Sheeran | Overpass Graffiti ||| Radio TEDDY - In #Bayern #Unterfranken #DAB auf Kanal 10A #NowPlaying https://t.co/g43lY5g7UZ 2: Overpass Graffiti (TCTS Remix) - Prerformed By; Ed Sheeran - #Listen #Radio Tune In https://t.co/ie8rbraenf #PeaceNotWar https://t.co/zBmhmvpsxv #nowplaying #EdSheeran ~ Ed Sheeran | Overpass Graffiti ||| BB RADIO - In #Eberswalde #Brandenburg #GER auf 95.4 TMN Top 100
Highlights
Week Ending: 4/9/2022

No. 13 (+5)

Ed Sheeran - Overpass Graffiti

https://t.co/rHeKFIorRA

@edsheeran Now Playing: 'OVERPASS GRAFFITI' by 'ED SHEERAN' [13:36] Ed Sheeran - Overpass Graffiti #nowplaying @BIZwebradio https://t.co/dNCmG0FZNI Ed Sheeran - Overpass Graffiti (Power Intro M40)"
68,Catching Feelings (feat. Six60),Drax Project,
69,West Coast,OneRepublic,"🔊 #NowPlaying on #BBCRadio2's #OJBorg 🕊️

OneRepublic:
  🎵 West Coast

#OneRepublic 

https://t.co/plCvSRgQUR OneRepublic - West Coast https://t.co/MsBdm9dDEb #NowPlaying #BBCRadio2 01:37: ""West Coast"" von OneRepublic #nowplaying #OneRepublic ~ OneRepublic | West Coast ||| BB RADIO - In #Wittenberge #Brandenburg #GER auf 104.3 rock pop dance classic hits now: West Coast - ONEREPUBLIC on https://t.co/euPh0ZZYk8 https://t.co/IyLp7sjYOp OneRepublic - West Coast (2022) #listen #live #follow_us #support_us
https://t.co/VIJMnOQLmd Now Playing: 'WEST COAST' by 'ONEREPUBLIC' Added to It's a Hit! on Spotify: ""West Coast"" by OneRepublic https://t.co/d6RFugMLRm https://t.co/sZbqDbOfcN O Ryan fez mesmo bem este ano lançar finalmente a West Coast. Que música boa. 
E o maluco/a que à uns anos disse que não era música para os onerepublic hehehe. Sei... Adesso in onda OneRepublic - West Coast https://t.co/NPVs5dgKny"
70,I Like That,Bazzi,"Now Playing on iWoody Radio:

Bazzi - I Like That

https://t.co/xQCwDKsHk1 @aaaamodh I like that , bazzi Now Playing: Bazzi - I Like That (Click Here To Listen) https://t.co/kcNQSyXRrW Reply to this with the first person you noticed in this video that isn’t Cameron Dallas because mine was Bazzi &amp; I feel like that says a lot  https://t.co/RZfeHuLNiT Now playing: I Like That by Bazzi #nowplaying Listen live: https://t.co/DswV8KZOAD https://t.co/j71J4ylXBG Now Playing: Bazzi - I Like That (Click Here To Listen) https://t.co/kcNQSyXRrW Now playing: I Like That by Bazzi #nowplaying Listen live: https://t.co/DswV8KZOAD https://t.co/0YgMzWTXWF Now Playing on iWoody Radio:

Bazzi - I Like That

https://t.co/xQCwDKsHk1 Now playing: I Like That by Bazzi #nowplaying Listen live: https://t.co/DswV8KHFmv https://t.co/8AcuurTlxY Now Playing on iWoody Radio:

Bazzi - I Like That

https://t.co/xQCwDKsHk1"
71,Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,
72,Make You Mine,PUBLIC,"make you mine nya Public wajib banget diputer biar mood seneng gitu @convomf make you mine-public, KEK AH ELAH GARA2 LU YG TIAP HARI NGIRIM VN ITU KE GUA TP MALAH JADIAN SM YG LAIN JD GEDEG GUA SM TUH LAGU @AndrewRoseSC I've stayed home for the past 2 years &amp; when vaccinations were available I got mine. People like you make it dangerous for me to resume any type of public life. I don't want to catch Covid. Shame on you for letting yourself &amp; your country down over a stupid shot. Hey @mgurri, you were kind enough to answer a (v poorly worded) question of mine about free news/public service broadcasters in a recent @TwitterSpaces event. A point I failed to make that you may find interesting is the level of trust in PSBs. BBC and PBS top of the list here. https://t.co/Ye29BqTkWe PublicのMake You Mine気分上げてくれてありがたい ga benci sih.. tapi kayak perasaan bersalah. haha, keingat dia jadinya
.
Public – Make you mine, Kaash Paige – Love songs, Ant Daunders – Yellow Hearts https://t.co/3FqLG49lm0 #NowPlaying PUBLIC - Make You Mine (Habitat Remix) #ListenLive https://t.co/G0mrrq6oFm #bayarea #onlineradio #DanceRadio #house #freestyle #edm #edmradio #housemusicpromoters https://t.co/3XZmy2QiQI 2 trolleys free food per till in SA 
Mine's email them BMW help the public we are here to make a dam difference. Donate those vehicles and we want you to pay people helping SA public out looking smart Race1SA all McLaren's.I take mine you pick one rest for the women. Ask BMW 4) A huge pet peeve of mine is how often I hear professionals and public gaslight individuals who are abused or treated poorly by these ""professionals"". Stay home if you can't show up for those who need emergency services. But don't make excuses about how hard your job can be. RT @Linoodleboodles: Hai hai! Mini announcement but if you’re into art/world building/story telling or would like to make some hella cool a…"
73,Big Energy,Latto,"RT @romeknowles: Megan fell off after WAP, Cardi B's entire career is based of the hatred of Nicki Minaj and 2019 Proved that with all of h… RT @romeknowles: Megan fell off after WAP, Cardi B's entire career is based of the hatred of Nicki Minaj and 2019 Proved that with all of h… RT @Latto: Big Energy (Remix) [feat. DJ Khaled] - Single by Latto &amp; Mariah Carey https://t.co/lM7yzgqNNJ https://t.co/PF3HFfGzZc RT @romeknowles: Megan fell off after WAP, Cardi B's entire career is based of the hatred of Nicki Minaj and 2019 Proved that with all of h… RT @romeknowles: Megan fell off after WAP, Cardi B's entire career is based of the hatred of Nicki Minaj and 2019 Proved that with all of h… RT @chartmariah: .@MariahCarey &amp; @Latto's “Big Energy Remix” has re-entered the top 5 of US iTunes at #4 🇺🇸. RT @romeknowles: Megan fell off after WAP, Cardi B's entire career is based of the hatred of Nicki Minaj and 2019 Proved that with all of h… Latto, Mariah Carey - Big Energy (Lyrics) ft. DJ Khaled https://t.co/DgLlxVvhpG a través de @YouTube RT @romeknowles: Megan fell off after WAP, Cardi B's entire career is based of the hatred of Nicki Minaj and 2019 Proved that with all of h… RT @ChartCertFreaks: Final Predictions: 'Big Energy' by @Latto is expected to remain at #3 on the next @billboard Hot 100 chart update. (@l…"
74,Wild (feat. Gary Clark Jr.),John Legend,John Legend - Wild (feat. Gary Clark Jr.) (Official Video) https://t.co/QtiRgZfHaN via @YouTube
75,Acapulco,Jason Derulo,"Jason Derulo - Acapulco 01:03: ""Acapulco"" von Jason Derulo El decorado de la canción ""Acapulco"" de Jason Derulo me recuerda al capitulo de La Que Se Avecina cuando montan un decorado para hacer una ONG. La tortuga que sale hace de buitre xD #NowPlaying Jason Derulo - Acapulco Monica just listened to ""Acapulco"" by Jason Derulo on Spotify.
Listen along here: https://t.co/iJPfkaIBtm https://t.co/2INHq9RnpK  - Jason Derulo - Acapulco 12:46: ""Acapulco"" von Jason Derulo Jason Derulo - Acapulco https://t.co/RaOzqngUsn 06:12: ""Acapulco"" von Jason Derulo Jason Derulo - Acapulco"
